Codigo,PaisCodigo,DescripcionES,DescripcionEN,DescripcionFR
AE-01,AE,ABU DHABI,ABU DHABI,ABOU DABI
AE-02,AE,AJMAN,AJMAN,AJMAN
AE-03,AE,DUBÁI,DUBAI,DUBAÏ
AE-04,AE,FUJAIRAH,FUJAIRAH EMIRATE,FUJAÏRAH
AE-05,AE,RAS AL KHAIMAH,EMIRATE OF RAS AL KHAIMAH,RAS EL KHAÏMAH
AE-06,AE,SHARJAH,SHARJAH EMIRATE,CHARJAH
AE-07,AE,UMM AL QAYWAYN,UMM AL QAYWAYN,OUMM AL QAÏWAÏN
AG-01,AG,BARBUDA,BARBUDA,ÎLE DE BARBUDA
AG-03,AG,PARROQUIA DE SAINT GEORGE,SAINT GEORGE PARISH,SAINT-GEORGE
AG-04,AG,ST. JOHN'S,SAINT JOHN PARISH,SAINT-JOHN
AG-05,AG,PARROQUIA DE SAINT MARY,SAINT MARY PARISH,SAINT-MARY
AG-06,AG,PARROQUIA DE SAINT PAUL,SAINT PAUL PARISH,SAINT-PAUL
AG-07,AG,PARROQUIA DE SAINT PETER,SAINT PETER PARISH,SAINT-PETER
AG-08,AG,PARROQUIA DE SAINT PHILIP,SAINT PHILIP PARISH,SAINT-PHILIP
AG-09,AG,ISLA REDONDA,REDONDA,ÎLE DE REDONDA
AR-01,AR,BUENOS AIRES,BUENOS AIRES,BUENOS AIRES
AR-02,AR,PROVINCIA DE CATAMARCA,CATAMARCA PROVINCE,CATAMARCA
AR-03,AR,PROVINCIA DEL CHACO,CHACO PROVINCE,CHACO
AR-04,AR,CHUBUT,CHUBUT PROVINCE,CHUBUT
AR-05,AR,PROVINCIA DE CÓRDOBA,CORDOBA PROVINCE,CÓRDOBA
AR-06,AR,PROVINCIA DE CORRIENTES,CORRIENTES PROVINCE,CORRIENTES
AR-07,AR,CAPITAL FEDERAL,FEDERAL DISTRICT,BUENOS AIRES
AR-08,AR,PROVINCIA DE ENTRE RÍOS,ENTRE RÍOS PROVINCE,ENTRE RÍOS
AR-09,AR,PROVINCIA DE FORMOSA,FORMOSA PROVINCE,FORMOSA
AR-10,AR,PROVINCIA DE JUJUY,JUJUY PROVINCE,JUJUY
AR-11,AR,PROVINCIA DE LA PAMPA,LA PAMPA PROVINCE,LA PAMPA
AR-12,AR,PROVINCIA DE LA RIOJA,LA RIOJA PROVINCE,LA RIOJA
AR-13,AR,PROVINCIA DE MENDOZA,MENDOZA PROVINCE,MENDOZA
AR-14,AR,MISIONES,MISIONES PROVINCE,MISIONES
AR-15,AR,PROVINCIA DEL NEUQUÉN,NEUQUÉN PROVINCE,NEUQUÉN
AR-16,AR,PROVINCIA DE RÍO NEGRO,RÍO NEGRO PROVINCE,RÍO NEGRO
AR-17,AR,PROVINCIA DE SALTA,SALTA PROVINCE,SALTA
AR-18,AR,PROVINCIA DE SAN JUAN,SAN JUAN PROVINCE,SAN JUAN
AR-19,AR,PROVINCIA DE SAN LUIS,SAN LUIS PROVINCE,SAN LUIS
AR-20,AR,PROVINCIA DE SANTA CRUZ,SANTA CRUZ PROVINCE,SANTA CRUZ
AR-21,AR,SANTA FE,SANTA FE PROVINCE,SANTA FE
AR-22,AR,PROVINCIA DE SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO PROVINCE,SANTIAGO DEL ESTERO
AR-23,AR,TIERRA DEL FUEGO,TIERRA DEL FUEGO PROVINCE,TERRE DE FEU
AR-24,AR,PROVINCIA DE TUCUMÁN,TUCUMÁN PROVINCE,TUCUMÁN
AT-01,AT,BURGENLAND,BURGENLAND,BURGENLAND
AT-02,AT,CARINTIA,CARINTHIA,CARINTHIE
AT-03,AT,BAJA AUSTRIA,LOWER AUSTRIA,BASSE-AUTRICHE
AT-04,AT,ALTA AUSTRIA,UPPER AUSTRIA,HAUTE-AUTRICHE
AT-05,AT,SALZBURGO,SALZBURG,SALZBOURG
AT-06,AT,ESTIRIA,STYRIA,STYRIE
AT-07,AT,TIROL,TYROL,TYROL
AT-08,AT,VORARLBERG,VORARLBERG,VORARLBERG
AT-09,AT,VIENA,VIENNA,VIENNE
AU-01,AU,TERRITORIO DE LA CAPITAL AUSTRALIANA,AUSTRALIAN CAPITAL TERRITORY,TERRITOIRE DE LA CAPITALE AUSTRALIENNE
AU-02,AU,NUEVA GALES DEL SUR,NEW SOUTH WALES,NOUVELLE-GALLES DU SUD
AU-03,AU,TERRITORIO DEL NORTE,NORTHERN TERRITORY,TERRITOIRE DU NORD
AU-04,AU,QUEENSLAND,QUEENSLAND,QUEENSLAND
AU-05,AU,SOUTH AUSTRALIA,SOUTH AUSTRALIA,AUSTRALIE-MÉRIDIONALE
AU-06,AU,TASMANIA,TASMANIA,TASMANIE
AU-07,AU,VICTORIA,VICTORIA,VICTORIA
